genero,nome,data_nascimento,presença_plenario,ausencia_justificada_plenario,ausencia_plenario,presenca_comissao,ausencia_justificada_comissao,ausencia_comissao,salario_bruto_par,quant_viagem,gasto_total_par,gasto_jan_par,gasto_fev_par,gasto_mar_par,gasto_abr_par,gasto_maio_par,gasto_junho_par,gasto_jul_par,gasto_agosto_par,gasto_set_par,gasto_out_par,gasto_nov_par,gasto_dez_par,gasto_jan_gab,gasto_fev_gab,gasto_mar_gab,gasto_abr_gab,gasto_maio_gab,gasto_junho_gab,gasto_jul_gab,gasto_agosto_gab,gasto_set_gab,gasto_out_gab,gasto_nov_gab,gasto_dez_gab,gasto_total_gab
F,ALESSANDRA SILVA RIBEIRO,04/07/1974,82,6,4,54,10,10,"33.763,00",0,"262.368,78","21.847,22","26.068,76","60.514,25","38.257,92","39.369,73","21.249,25","15.093,79","19.228,94","15.225,62","5.513,30",0,0,73391.76,71163.83,70424.23,71271.43,75507.41,78795.1,74373.3,79377.41,79377.41,83691.96,0,0,757373.84
F,CHRISTIANE DE SOUZA YARED,23/02/1960,83,9,0,27,6,5,"33.763,00",0,"330.395,35","23.957,30","44.324,43","35.762,57","54.189,41","41.149,82","32.246,76","23.122,06","18.987,00","15.446,67","40.295,66","913,67",0,108772.44,108772.44,108772.44,108772.44,108366.22,104176.55,111586.94,111586.94,111586.94,108683.92,0,0,1091077.2699999998
F,CELINA LEAO HIZIM FERREIRA,02/03/1977,71,2,19,18,1,23,"33.763,00",1,"101.582,40","1.190,04","11.101,64","13.853,72","18.215,77","17.835,36","15.949,33","14.392,13","6.642,14","2.402,27",0,0,0,110531.62,110840.11,110489.74,109406.57,110401.05,109266.63,109432.72,110798.51,110798.51,110798.51,0,0,1102763.97
F,ÁUREA CAROLINA DE FREITAS E SILVA,20/11/1983,75,17,0,22,5,5,"33.763,00",0,"302.788,06","15.477,79","17.211,99","36.192,89","50.919,99","47.628,80","36.660,42","25.545,07","22.852,05","27.143,68","23.155,38",0,0,110482.87,110320.03,111502.08,111502.08,111502.08,111499.25,111417.08,111417.08,111417.08,105478.47,0,0,1106538.0999999999
F,BRUNA DIAS FURLAN VICENTE,28/04/1983,39,0,4,0,0,0,"33.763,00",0,"77.114,78","12.812,15","15.234,17","17.325,26","17.939,40","283,61","5.769,80","6.302,20","1.448,19",0,0,0,0,102008.81,103337.22,104665.63,85126.66,89553.78,105191.41,111416.96,104020.17,87826.95,93579.66,0,0,986727.2500000001
F,ADRIANA MIGUEL VENTURA,06/03/1969,92,0,0,75,0,0,,,"32.744,36","91,69","11.201,41","6,17","12.078,93","2.012,14","3.326,52","2.525,67","464,61","481,48","555,74",0,0,46239.34,47876.22,45155.54,47484.47,50501.69,47810.2,53606.39,43951.57,36862.01,38831.64,0,0,458319.07000000007
F,CAROLINE RODRIGUES DE TONI,01/09/1986,91,0,1,45,1,11,"33.763,00",0,"108.667,23","1.577,63","10.066,51","14.101,09","11.285,98","24.174,38","15.473,46","14.468,42","7.103,83","3.096,89","5.223,46","2.095,58",0,84266.39,86627.52,88148.33,92593.08,96367.63,96367.63,93146.11,92800.95,92800.95,87409.42,0,0,910528.01
F,ALINE PARANHOS VARONIL GURGEL,25/11/1980,78,11,3,16,7,27,"33.763,00",0,"425.828,00","42.916,79","55.902,66","41.953,93","40.253,23","74.755,05","10.460,16","40.552,36","44.238,07","50.064,19","24.731,56",0,0,111429.18,111160.99,111429.2,111429.2,111429.2,111429.2,111429.2,111429.2,109688.29,108621.49,0,0,1109475.15
F,HILKEA CARLA DE SOUZA MEDEIROS LIMA,02/07/1976,91,0,1,62,0,5,"33.763,00",0,"321.096,04","24.586,19","44.761,07","52.267,87","31.382,92","38.231,83","32.701,13","15.878,04","19.847,11","20.700,30","40.204,82","534,76",0,111271.39,111271.39,111271.39,111271.39,111271.39,110132.42,111538.26,111238.3,111538.26,111538.26,0,0,1112342.45
F,EDNACE ALVES SILVESTRE HENRIQUE,04/09/1958,52,9,1,13,7,6,"33.763,00",0,"245.404,75","21.722,42","41.564,86","44.584,53","40.428,22","32.338,39","34.109,42","30.426,91","230,00",0,0,0,0,110222.29,107865.76,109797.12,111663.63,111512.59,111590.85,111590.85,111590.85,111590.85,111590.85,0,0,1109015.64
F,ALINE SLEUTJES,26/07/1979,81,11,0,25,7,5,"33.763,00",0,"271.444,38","18.718,10","42.340,70","49.189,30","28.504,61","62.024,69","25.909,67","20.829,47","10.742,51","4.466,72","8.102,19","616,42",0,108562.89,107823.39,108054.31,102862.93,104407.0,105903.3,107141.12,104241.48,105514.93,93070.21,0,0,1047581.56
F,BEATRIZ KICIS TORRENTS DE SORDI,19/09/1961,89,3,0,56,3,4,"33.763,00",1,"217.096,60","25.190,49","25.724,28","26.105,29","27.799,70","29.874,33","15.473,15","16.116,39","14.243,78","13.146,49","22.163,74","1.258,96",0,111271.47,111271.47,111271.47,111271.47,111271.47,111538.39,111538.39,111538.39,111538.39,111538.39,0,0,1114049.3
F,CARMEN EMÍLIA BONFÁ ZANOTTO,06/10/1962,,,,,,,"33.763,00",0,"239.861,51","15.385,24","28.801,18","31.514,98","30.373,86","35.066,26","31.040,14","26.674,03","14.544,84","11.885,29","14.575,69",0,0,101754.2,102247.05,101219.81,102930.96,102930.96,101603.76,86458.75,91918.18,92236.93,97802.61,0,0,981103.2099999998
F,CARLA ZAMBELLI SALGADO DE OLIVEIRA,03/07/1980,79,12,1,10,5,12,"33.763,00",1,"277.181,24","35.310,53","32.694,44","29.735,19","21.729,23","51.011,16","22.816,95","21.987,75","14.571,57","14.918,40","31.400,35","1.005,67",0,111549.61,111299.27,110215.67,105302.52,108206.27,105657.79,108726.99,111400.84,111665.78,111665.78,0,0,1095690.52
