genero,nome,data_nascimento,presença_plenario,ausencia_justificada_plenario,ausencia_plenario,presenca_comissao,ausencia_justificada_comissao,ausencia_comissao,salario_bruto_par,quant_viagem,gasto_total_par,gasto_jan_par,gasto_fev_par,gasto_mar_par,gasto_abr_par,gasto_maio_par,gasto_junho_par,gasto_jul_par,gasto_agosto_par,gasto_set_par,gasto_out_par,gasto_nov_par,gasto_dez_par,gasto_jan_gab,gasto_fev_gab,gasto_mar_gab,gasto_abr_gab,gasto_maio_gab,gasto_junho_gab,gasto_jul_gab,gasto_agosto_gab,gasto_set_gab,gasto_out_gab,gasto_nov_gab,gasto_dez_gab,gasto_total_gab
M,FERNANDO BEZERRA DE SOUZA COELHO FILHO,28/02/1984,81,5,6,6,4,39,"33.763,00",0,"289.091,64","32.904,38","35.321,53","50.966,51","42.640,35","22.991,65","38.141,86","34.943,44","7.902,03","1.571,47","20.930,42","778,00",0,106461.21,106461.21,106461.21,106461.21,107548.75,111277.47,111277.47,110295.4,110786.15,110786.15,0,0,1087816.23
M,ANTONIO RIBEIRO,03/03/1944,86,6,0,30,4,14,"33.763,00",0,"361.696,70","40.812,78","41.699,11","53.527,13","42.212,73","53.135,08","32.573,14","21.560,81","17.788,85","19.494,29","37.582,25","1.310,53",0,110889.19,110889.19,110889.19,110313.55,109560.78,110047.86,110889.19,110889.19,110889.19,110889.19,0,0,1106146.5199999998
M,GENECIAS MATEUS NORONHA,13/03/1963,58,31,3,0,0,0,"33.763,00",0,"182.956,80","6.912,14","17.143,52","35.003,95","26.327,99","19.477,71","14.497,11","13.104,39","10.260,84","26.907,04","13.322,11",0,0,92989.03,98109.44,100534.9,101430.22,99984.28,106905.63,103040.08,103040.08,103040.08,103040.08,0,0,1012113.8199999998
M,FLAVIANO FLÁVIO BAPTISTA DE MELO,17/11/1949,82,10,0,3,0,1,"33.763,00",0,"438.870,21","34.282,68","37.155,36","51.227,13","29.713,90","79.405,70","25.480,53","38.048,40","39.592,10","54.822,12","29.142,29","20.000,00",0,107904.83,107983.89,111367.03,111659.62,111659.62,111659.62,111659.62,110227.3,110179.56,110179.56,0,0,1104480.6500000001
M,FREDERICO BORGES DA COSTA,12/07/1977,83,9,0,14,1,5,"33.763,00",0,"285.262,12","14.730,30","29.479,43","41.701,41","55.095,45","44.266,74","24.177,23","21.336,08","23.057,48","15.301,98","12.687,52","3.428,50",0,110167.89,108567.01,109305.97,109305.97,109563.08,108452.71,101554.25,109006.01,107977.56,103926.38,0,0,1077826.83
M,FRANCISCO RODRIGUES VALE JUNIOR,15/03/1969,87,3,2,25,2,6,"33.763,00",0,"309.142,86","17.093,58","30.616,27","50.032,21","33.547,10","38.718,63","30.008,06","31.405,20","20.504,95","10.000,71","26.688,21","20.527,94",0,110440.58,110440.58,110440.58,110440.58,108630.41,108370.3,101304.39,105472.56,105472.56,105472.56,0,0,1076485.1
M,FERNANDO LÚCIO GIACOBO,17/12/1970,86,1,5,13,1,7,"33.763,00",1,"369.972,81","27.455,42","49.074,18","58.575,31","7.832,83","52.242,70","38.497,82","8.820,58","6.333,82","4.309,92","66.740,23","50.090,00",0,110392.0,111089.37,110699.96,111659.53,111616.68,104856.92,111659.53,110779.99,111160.32,102457.31,0,0,1096371.61
M,ROBERTO SEBASTIÃO PETERNELLI JUNIOR,06/08/1954,89,0,3,132,0,21,"33.763,00",0,"219.516,20","17.011,69","44.800,56","44.569,19","22.660,96","25.933,02","28.500,81","13.743,54","9.053,72","5.578,56","7.617,80","46,35",0,67824.41,70484.71,70484.71,74499.52,79446.76,86394.48,95109.95,76397.8,54701.66,54701.66,0,0,730045.6600000001
M,FLÁVIO RODRIGUES NOGUEIRA,27/02/1953,91,1,0,39,0,4,"33.763,00",0,"395.772,41","38.329,27","41.835,51","39.604,13","37.048,37","42.494,03","47.068,00","42.082,62","36.727,61","36.484,39","34.098,48",0,0,110937.69,110937.69,111074.66,110962.76,111467.18,111544.27,111544.27,111544.27,111544.27,105327.63,0,0,1106884.69
M,FILIPE BARROS BAPTISTA DE TOLEDO RIBEIRO,29/05/1991,82,10,0,13,3,10,"33.763,00",0,"289.321,08","39.534,77","31.282,38","56.382,81","46.765,21","50.641,59","43.365,67","18.271,75","239,65","40,19","1.714,17","1.082,89",0,97669.43,98842.46,98853.61,101434.99,105314.69,105934.61,105601.33,88221.2,71613.4,65419.8,0,0,938905.52
M,ELIÉSER GIRÃO MONTEIRO FILHO,08/05/1955,85,4,3,47,3,6,"33.763,00",0,"363.091,99","37.148,25","58.184,62","39.315,76","43.316,28","45.230,05","37.619,01","23.969,66","26.317,64","11.257,52","39.833,77","899,43",0,111550.61,111550.61,111550.61,111550.61,111550.61,110587.36,111550.61,111550.61,111550.61,111550.61,0,0,1114542.85
M,GELSON DE AZEVEDO ALMEIDA,10/01/1965,88,0,4,17,0,13,"33.763,00",0,"320.500,73","17.208,87","18.142,04","73.589,54","23.955,82","60.671,30","21.380,73","24.088,36","10.719,92","15.215,86","4.613,07","50.915,22",0,111429.1,111429.1,111429.1,111207.7,111523.22,111580.75,111580.75,111580.75,111580.75,109244.43,0,0,1112585.6500000001
